Director,Education,Year Active,Birth Day,Birth Place,Roles,Died,Link
Herbert Blaché,,1912–1929,1882-10-05,"London, England","Film director, film producer, screenwriter",1,https://en.wikipedia.org/wiki/Herbert_Blach%C3%A9
Nicola Black,,1990–present,"BornNicola Jane BlackGlasgow, Scotland","Glasgow, Scotland",TV directorFilm directorTelevision directorFilm producer,0,https://en.wikipedia.org/wiki/Nicola_Black
Shane Black,,1986–present,1961-12-16,"Pittsburgh, Pennsylvania, U.S.",Actordirectorproducerscreenwriter,0,https://en.wikipedia.org/wiki/Shane_Black
George Blair,,1933–1961,"BornDecember 6, 1905United States",United States,"Director, Producer",1,https://en.wikipedia.org/wiki/George_Blair_(director)
Alessandro Blasetti,,1917–1981,1900-07-03,"Rome, Italy",Film director,1,https://en.wikipedia.org/wiki/Alessandro_Blasetti
Bertrand Blier,,1959–present,1939-03-14,"Boulogne-Billancourt, France","Film director, writer",0,https://en.wikipedia.org/wiki/Bertrand_Blier
Neill Blomkamp,EducationRedhill School Vancouver Film School,1996–present,1979-09-17,"Johannesburg, South Africa","Film director, producer, screenwriter, animator",0,https://en.wikipedia.org/wiki/Neill_Blomkamp
Don Bluth,,1955–present,1937-09-13,"El Paso, Texas, U.S.","Animator, film director, producer, writer, production designer, animation instructor",0,https://en.wikipedia.org/wiki/Don_Bluth
John G. Blystone,,1915-1938,1892-12-02,"Rice Lake, Wisconsin",Film director,1,https://en.wikipedia.org/wiki/John_G._Blystone
Eugeniusz Bodo,,,1899-12-28,"possibly in Geneva, Switzerland","Actor, singer, dancer, screenwriter, film director",1,https://en.wikipedia.org/wiki/Eugeniusz_Bodo
Carl Boese,,1917–1957,1887-08-26,"Berlin, German Empire",Film directorScreenwriter,1,https://en.wikipedia.org/wiki/Carl_Boese
Budd Boetticher,,1942–1985,1916-07-29,"Chicago, Illinois, U.S.",Film director,1,https://en.wikipedia.org/wiki/Budd_Boetticher
Paul Bogart,,1953–1995,1919-11-13,"Harlem, New York City, New York, U.S.",Director & Producer,1,https://en.wikipedia.org/wiki/Paul_Bogart
Peter Bogdanovich,,,1939-07-30,"Kingston, New York, U.S.","Film director, actor",0,https://en.wikipedia.org/wiki/Peter_Bogdanovich
José Bohr,,1919-1969,1901-09-03,"Bonn, Germany",Film directorFilm producerActorScreenwriter,1,https://en.wikipedia.org/wiki/Jos%C3%A9_Bohr
Michel Boisrond,,1947–2002,1921-10-09,France,"Film director, screenwriter",1,https://en.wikipedia.org/wiki/Michel_Boisrond
Patrick Bokanowski,,1962–present,1943-06-23,"Algiers, French Algeria",Filmmaker,0,https://en.wikipedia.org/wiki/Patrick_Bokanowski
Richard Boleslawski,,,1889-02-04,"Mohylów Podolski, Russian Empire",Acting teacher • Actor • Theater and Film director,1,https://en.wikipedia.org/wiki/Richard_Boleslawski
Uwe Boll,,2016–present (as restaurateur,1965-06-22,"Wermelskirchen, North Rhine-Westphalia, West Germany","Film director, film producer, screenwriter, actor, restaurateur",0,https://en.wikipedia.org/wiki/Uwe_Boll
Mauro Bolognini,,1953–1995,1922-06-28,"Pistoia, Kingdom of Italy",Film directorscreenwriterstage director,1,https://en.wikipedia.org/wiki/Mauro_Bolognini
Fyodor Bondarchuk,,1986–present,1967-05-09,"Moscow, Russian SFSR, Soviet Union","Film director, actor, producer, clipmaker, TV host, creator.",0,https://en.wikipedia.org/wiki/Fyodor_Bondarchuk
Sergei Bondarchuk,,1948–1992,1920-09-25,"Belozerka, Kherson Governorate, Ukrainian People's Republic",,1,https://en.wikipedia.org/wiki/Sergei_Bondarchuk
Bong Joon-ho,EducationJamsil High School Yonsei University (B.A.) Korean Academy of Film Arts,,1969-09-14,"Daegu, South Korea",Filmmaker,0,https://en.wikipedia.org/wiki/Bong_Joon-ho
John Boorman,,1962–present,1933-01-18,"Shepperton, Middlesex, England",Filmmaker,0,https://en.wikipedia.org/wiki/John_Boorman
Walerian Borowczyk,,1946–1988,1923-10-21,"Kwilcz, Poland",Film director,1,https://en.wikipedia.org/wiki/Walerian_Borowczyk
Frank Borzage,,,1894-04-23,"Salt Lake City, Utah, U.S.","Film director, actor",1,https://en.wikipedia.org/wiki/Frank_Borzage
John and Roy Boulting,,,1913-12-21,"Bray, Berkshire, England",Film producers and directors,1,https://en.wikipedia.org/wiki/John_and_Roy_Boulting
Lucien Bourjeily,,,"BornLucien BourjeilyBeirut, Lebanon","Beirut, Lebanon","Playwright, Director, Filmmaker, Actor",0,https://en.wikipedia.org/wiki/Lucien_Bourjeily
David Bowers,,1988–present,"BornCheshire, England","Cheshire, England","Animator, film director, screenwriter, voice actor",0,https://en.wikipedia.org/wiki/David_Bowers_(director)
Danny Boyle,EducationThornleigh Salesian College,1980–present,1956-10-20,"Radcliffe, Lancashire, England","Director, producer",0,https://en.wikipedia.org/wiki/Danny_Boyle
Charles Brabin,,,1882-04-17,"Liverpool, England",,1,https://en.wikipedia.org/wiki/Charles_Brabin
John Brahm,,,1893-08-17,"Hamburg, German Empire","Film director, television director",1,https://en.wikipedia.org/wiki/John_Brahm
Stan Brakhage,,,1933-01-14,"Kansas City, Missouri, U.S.",,1,https://en.wikipedia.org/wiki/Stan_Brakhage
A.V. Bramble,,1914–1952,"BornAlbert Victor Bramble1884Portsmouth, Hampshire, England","Portsmouth, Hampshire, England",,1,https://en.wikipedia.org/wiki/A.V._Bramble
Kenneth Branagh,,1981–present,1960-12-10,"Belfast, Northern Ireland",Actordirectorproducerscreenwriter,0,https://en.wikipedia.org/wiki/Kenneth_Branagh
Tinto Brass,,1963–present,1933-03-26,"Milan, Italy",Film director,0,https://en.wikipedia.org/wiki/Tinto_Brass
Catherine Breillat,,,1948-07-13,"Bressuire, Deux-Sèvres, France","Film director, screenwriter, novelist",0,https://en.wikipedia.org/wiki/Catherine_Breillat
Herbert Brenon,,1911–1940,1880-01-13,"Kingstown, Ireland",Film director,1,https://en.wikipedia.org/wiki/Herbert_Brenon
Robert Bresson,,1933–1983,1901-09-25,"Bromont-Lamothe, France","Film director, screenwriter",1,https://en.wikipedia.org/wiki/Robert_Bresson
Martin Brest,EducationNew York University (BFA)American Film Institute (MFA),1972–2003,1951-08-08,"The Bronx, New York City, New York, U.S.","Film director, producer, screenwriter",0,https://en.wikipedia.org/wiki/Martin_Brest
Vinko Brešan,,1994–present,1964-02-03,"Zagreb, SR Croatia, SFR Yugoslavia",Film director,0,https://en.wikipedia.org/wiki/Vinko_Bre%C5%A1an
Howard Bretherton,,,"BornFebruary 13, 1890Tacoma, Washington, United States","Tacoma, Washington, United States",Film editor,1,https://en.wikipedia.org/wiki/Howard_Bretherton
Sean Bridgers,,1991–present,1968-03-15,"Chapel Hill, North Carolina, U.S.","Actor, screenwriter, producer",0,https://en.wikipedia.org/wiki/Sean_Bridgers
James Bridges,,,1936-02-03,"Little Rock, Arkansas, United States","Screenwriter, film director, film producer, actor",1,https://en.wikipedia.org/wiki/James_Bridges
Steven Brill,,1989–present,1962-05-27,"Utica, New York, U.S.","Actor, director, screenwriter",0,https://en.wikipedia.org/wiki/Steven_Brill_(scriptwriter)
Philippe de Broca,,1959–2004,1933-03-15,"Paris, France",Film director,1,https://en.wikipedia.org/wiki/Philippe_de_Broca
Lino Brocka,,1970–1991,1939-04-03,"Pilar, Sorsogon, Commonwealth of the Philippines",Film director,1,https://en.wikipedia.org/wiki/Lino_Brocka
Peter Brook,,1949–present,1925-03-21,"Turnham Green, Chiswick, London, England",Director,0,https://en.wikipedia.org/wiki/Peter_Brook
Albert Brooks,EducationCarnegie Mellon University,1969–present,1947-07-22,"Beverly Hills, California, U.S.","Actor, comedian, writer, director",0,https://en.wikipedia.org/wiki/Albert_Brooks
James L. Brooks,,1965–present,1940-05-09,"Brooklyn, New York, U.S.",Directorproducerscreenwriter,0,https://en.wikipedia.org/wiki/James_L._Brooks
Mel Brooks,,1949–present,1926-06-28,"Brooklyn, New York, U.S.",Director writer actor comedian producer composer,0,https://en.wikipedia.org/wiki/Mel_Brooks
Richard Brooks,,,"BornReuben SaxMay 18, 1912Philadelphia, Pennsylvania, U.S.","Philadelphia, Pennsylvania, U.S.","Film director, screenwriter, producer, novelist",1,https://en.wikipedia.org/wiki/Richard_Brooks
Nick Broomfield,"EducationSidcot School, SomersetCardiff UniversityUniversity of Essex",,"Born1948 (age 71–72)London, England","London, England",Film director,0,https://en.wikipedia.org/wiki/Nick_Broomfield
Simon Bross,,,1960-02-22,Mexico,"Director & Producer for Film, TV and Theater",0,https://en.wikipedia.org/wiki/Simon_Bross
James Broughton,,,1913-11-10,,"Poet, Memoirist, Playwright, Film maker",1,https://en.wikipedia.org/wiki/James_Broughton
Otto Brower,,1928–1946,1890-12-02,"Grand Rapids, Michigan",Film director,1,https://en.wikipedia.org/wiki/Otto_Brower
Clarence Brown,,1915–1953,1890-05-10,"Clinton, Massachusetts, U.S.",,1,https://en.wikipedia.org/wiki/Clarence_Brown
Harry Joe Brown,,,"BornSeptember 22, 1890Pittsburgh, Pennsylvania, U.S.","Pittsburgh, Pennsylvania, U.S.","Film producer, film director",1,https://en.wikipedia.org/wiki/Harry_Joe_Brown
Tod Browning,,1913–1939,1880-07-12,"Louisville, Kentucky, U.S.",film actorfilm directorscreenwritervaudevilliancarnival/sideshow worker,1,https://en.wikipedia.org/wiki/Tod_Browning
Adrian Brunel,,1917–1940,1892-09-04,"Brighton, Sussex, England",Film director,1,https://en.wikipedia.org/wiki/Adrian_Brunel
Nick Bruno,,,1951-06-04,"IndependenceTangipahoa ParishLouisiana, United States",,0,https://en.wikipedia.org/wiki/Nick_Bruno
Chris Buck,EducationEl Dorado High School,,1958-02-24,"Wichita, Kansas, U.S.",,0,https://en.wikipedia.org/wiki/Chris_Buck
Detlev Buck,,1982–present,1962-12-01,"Bad Segeberg, Germany","Film director, actor",0,https://en.wikipedia.org/wiki/Detlev_Buck
Tom Buckingham,,1920-1932,1895-02-25,"Chicago, Illinois, USA",Film director,1,https://en.wikipedia.org/wiki/Tom_Buckingham
Steve Buscemi,,1985–present,1957-12-13,"New York City, New York, U.S.",Actor voice actor director writer producer,0,https://en.wikipedia.org/wiki/Steve_Buscemi
Harold S. Bucquet,,1922–1945,1891-04-10,"London, England",Film director,1,https://en.wikipedia.org/wiki/Harold_S._Bucquet
Jan Bucquoy,,,1945-11-16,"Harelbeke, Belgium","anarchist, author, filmmaker",0,https://en.wikipedia.org/wiki/Jan_Bucquoy
John Carl Buechler,,1978–2019,1952-06-18,"Belleville, Illinois, United States","Film director, make-up artist, screenwriter",1,https://en.wikipedia.org/wiki/John_Carl_Buechler
Luis Buñuel,,1929–1977,1900-02-22,"Calanda, Aragon, Spain",Filmmaker,1,https://en.wikipedia.org/wiki/Luis_Bu%C3%B1uel
Charles Burnett,,1977-present,1944-04-13,"Vicksburg, Mississippi","Film director, film producer, writer, editor, actor, photographer, cinematographer",0,https://en.wikipedia.org/wiki/Charles_Burnett_(director)
Edward Burns,EducationHewlett High School,1995–present,1968-01-29,"Woodside, Queens, New York City, New York, U.S.","Actor, film director, film producer, screenwriter",0,https://en.wikipedia.org/wiki/Edward_Burns
Tim Burstall,,1960–1996,1927-04-20,"Stockton-on-Tees, England",Film director,1,https://en.wikipedia.org/wiki/Tim_Burstall
Tim Burton,EducationBurbank High School,1971–present,1958-08-25,,"Director, producer, animator, writer, artist",0,https://en.wikipedia.org/wiki/Tim_Burton
Alexander Butler,,1913–1926,,,Film director,0,https://en.wikipedia.org/wiki/Alexander_Butler
David Butler,,1910–67,1894-12-17,"San Francisco, California, U.S.","Actor, film director, film producer, screenwriter, television director",1,https://en.wikipedia.org/wiki/David_Butler_(director)
Robert Butler,,,1927-11-16,"Los Angeles, California, United States","Film director, television director",0,https://en.wikipedia.org/wiki/Robert_Butler_(director)
Jörg Buttgereit,,1981–present,1963-12-20,West Berlin,"Film director, screenwriter, producer",0,https://en.wikipedia.org/wiki/J%C3%B6rg_Buttgereit
Edward Buzzell,,1961 (director,1895-11-13,"Brooklyn, New York City, U.S.","Actor, director, producer, writer",1,https://en.wikipedia.org/wiki/Edward_Buzzell
Bobby Razak,,,,,"Director, Producer",0,https://en.wikipedia.org/wiki/Bobby_Razak
Christy Cabanne,,1911-1948,1888-04-16,"St. Louis, Missouri",,1,https://en.wikipedia.org/wiki/Christy_Cabanne
Michael Cacoyannis,,1954–1999,1922-06-11,"Limassol, Cyprus",Film director,1,https://en.wikipedia.org/wiki/Michael_Cacoyannis
Israel Adrián Caetano,,,"BornIsrael Adrián Caetano1969 (age 50–51)Montevideo, Uruguay","Montevideo, Uruguay","film director, producer, screenplay writer",0,https://en.wikipedia.org/wiki/Israel_Adri%C3%A1n_Caetano
Nicolas Cage,,1981–present,1964-01-07,"Long Beach, California, U.S.","Actor, filmmaker",0,https://en.wikipedia.org/wiki/Nicolas_Cage
James Cagney,,1919–1984,1899-07-17,"New York City, U.S.",ActorDancer,1,https://en.wikipedia.org/wiki/James_Cagney
Mike Cahill,,,1979-07-05,"New Haven, Connecticut, U.S.","Film director, screenwriter",0,https://en.wikipedia.org/wiki/Mike_Cahill_(director)
Edward L. Cahn,,,1899-02-12,"Brooklyn, New York, USA",Film director,1,https://en.wikipedia.org/wiki/Edward_L._Cahn
James Cameron,,1975–present,1954-08-16,"Kapuskasing, Ontario, Canada",Filmmakerenvironmentalistphilanthropistexplorer,0,https://en.wikipedia.org/wiki/James_Cameron
Donald Cammell,,,"Born17 January 1934Edinburgh, Scotland","Edinburgh, Scotland","Painter, screenwriter, film director",1,https://en.wikipedia.org/wiki/Donald_Cammell
Joe Camp,,,1939-04-20,"St. Louis, Missouri, U.S.","Film director, screenwriter",0,https://en.wikipedia.org/wiki/Joe_Camp
Juan José Campanella,,1979–present,1959-07-19,"Buenos Aires, Argentina",Filmmaker,0,https://en.wikipedia.org/wiki/Juan_Jos%C3%A9_Campanella
Colin Campbell,,1911–1924,1859-10-11,"Scotland, United Kingdom",Film director,1,https://en.wikipedia.org/wiki/Colin_Campbell_(director)
Martin Campbell,,,1943-10-24,"Hastings, Hawkes Bay, New Zealand",Television and film director,0,https://en.wikipedia.org/wiki/Martin_Campbell
Jane Campion,,,1954-04-30,"Wellington, New Zealand",Screenwriterproducerdirector,0,https://en.wikipedia.org/wiki/Jane_Campion
Danny Cannon,,1984–present,1968-10-05,"Luton, England",Director executive producer screenwriter,0,https://en.wikipedia.org/wiki/Danny_Cannon
Dyan Cannon,,1958–present,1937-01-04,"Tacoma, Washington, U.S.","Actress, director, screenwriter, producer, editor",0,https://en.wikipedia.org/wiki/Dyan_Cannon
Graham Cantwell,,1999–present,1974-03-25,"Dublin, Ireland","Director, Screenwriter",0,https://en.wikipedia.org/wiki/Graham_Cantwell
Albert Capellani,,1904–1922,1874-08-23,"Paris, France",Film directorScreenwriter,1,https://en.wikipedia.org/wiki/Albert_Capellani
Frank Capra,,1922–1964,1897-05-18,"Bisacquino, Sicily, Italy","Film director, producer, writer",1,https://en.wikipedia.org/wiki/Frank_Capra
Luigi Capuano,,1947-1971,"Born13 July 1904Naples, Italy","Naples, Italy",Film directorScreenwriter,1,https://en.wikipedia.org/wiki/Luigi_Capuano
Leos Carax,,1984–present,1960-11-22,"Suresnes, Hauts-de-Seine, France",Film director critic actor screenwriter,0,https://en.wikipedia.org/wiki/Leos_Carax
Marcel Carné,,1936–1976,1906-08-18,"Paris, France",,1,https://en.wikipedia.org/wiki/Marcel_Carn%C3%A9
Marc Caro,,,1956-04-02,"Nantes, France","Film director, screenwriter",0,https://en.wikipedia.org/wiki/Marc_Caro
Niki Caro,,1984–present,1966-09-20,"Wellington, New Zealand","Film director, screenwriter",0,https://en.wikipedia.org/wiki/Niki_Caro
John Carpenter,,1969–present,1948-01-16,"Carthage, New York, U.S.",Film director screenwriter producer editor composer musician keyboardist,0,https://en.wikipedia.org/wiki/John_Carpenter
Thomas Carr,,1915-68,1907-07-04,"Philadelphia, Pennsylvania, U.S.","Actor, director",1,https://en.wikipedia.org/wiki/Thomas_Carr_(director)
Enrique Carreras,,1951–1991,1925-01-06,"Lima, Peru","Film director, writer, actor, producer",1,https://en.wikipedia.org/wiki/Enrique_Carreras
Chris Carter,,,1956-10-13,"Bellflower, California, U.S.","Writer, director, producer",0,https://en.wikipedia.org/wiki/Chris_Carter_(screenwriter)
D. J. Caruso,,1988 - present,1965-01-17,"Norwalk, Connecticut, United States","Director, producer",0,https://en.wikipedia.org/wiki/D._J._Caruso
John Cassavetes,EducationBlair Academy,1951–1989,1929-12-09,"New York City, New York, U.S.",Actor filmmaker,1,https://en.wikipedia.org/wiki/John_Cassavetes
Nick Cassavetes,,1970–present,1959-05-21,"New York City, New York, U.S.",Actor director writer,0,https://en.wikipedia.org/wiki/Nick_Cassavetes
P. J. Castellaneta,,,"BornPaul Joseph Castellaneta1960Lynbrook, New York","Lynbrook, New York","film director, screenwriter",0,https://en.wikipedia.org/wiki/P._J._Castellaneta
William Castle,,,1914-04-24,"New York City, U.S.","Director, producer, screenwriter, actor",1,https://en.wikipedia.org/wiki/William_Castle
Torre Catalano,,,,,"Film producer, writer, film director",0,https://en.wikipedia.org/wiki/Torre_Catalano
Michael Caton-Jones,,,1957-10-15,"Broxburn, West Lothian, Scotland","Film director, television director, producer",0,https://en.wikipedia.org/wiki/Michael_Caton-Jones
Peter Cattaneo,,1989–present,1964-07-01,"Twickenham, London, England",,0,https://en.wikipedia.org/wiki/Peter_Cattaneo
Liliana Cavani,,,1933-01-12,"Carpi, Province of Modena, Italy",Italian film director and screenwriter,0,https://en.wikipedia.org/wiki/Liliana_Cavani
André Cayatte,,,1909-02-03,"Carcassonne, Aude, Languedoc-Roussillon, France",,1,https://en.wikipedia.org/wiki/Andr%C3%A9_Cayatte
Ralph Ceder,,1922–1940,1897-02-02,"Marinette, Wisconsin, US",Film directorScreenwriter,1,https://en.wikipedia.org/wiki/Ralph_Ceder
Jeff Celentano,,,1960-05-24,"Pemberton, New Jersey",,0,https://en.wikipedia.org/wiki/Jeff_Celentano
Nuri Bilge Ceylan,,1995–present,1959-01-26,"Istanbul, Turkey[1]","Film director, photographer",0,https://en.wikipedia.org/wiki/Nuri_Bilge_Ceylan
Claude Chabrol,,1956–2010,1930-06-24,"Paris, France",Director,1,https://en.wikipedia.org/wiki/Claude_Chabrol
Gurinder Chadha,,1990–present,1960-01-10,"Nairobi, Kenya","Film director, screenwriter",0,https://en.wikipedia.org/wiki/Gurinder_Chadha
